path,size_bytes,sha256
lessons/019-protocols-and-layered-communication.md,11389,1ee358e33e3e5c32cf310aa785161260b406165930afab4277bf8dce1e460e7c
lessons/020-ip-addresses-mac-addresses-dns-and-urls.md,17228,de84dab1206ea03f9c0da54f695e4372036322ff808717561dc76bc929eff2a1
lessons/021-http-https-ftp-smtp-pop3-and-imap-in-context.md,5990,b32f0a82fe4c76e4d98ee6244b0df82f9682ed598504515da4dc161b0aa159ec
lessons/022-wired-and-wireless-transmission-media.md,7231,98a764aa9fe948b9bd1df2171ac0a0da9d6e54298ed88875a749dde0c7c43389
lessons/023-network-hardware-switches-routers-access-points-and-gateways.md,7733,3c05d0b1e60f9213558201470f025198a17b1db9406b56725d63de8e19a19635
lessons/024-internet-intranet-extranet-and-cloud-services.md,7145,77b2ad0b00801ec48c2891d5e5aacdce1a9380b1143fb7f761299b27d919f764
lessons/025-network-performance-latency-bandwidth-and-congestion.md,6405,e259beeb70dd3d8ca72cbe53fe9700c8d91bf5bf494bc9462c4615a9596f57ea
lessons/026-section-2-review-explaining-communication-with-precision.md,5005,de0dbab2a4a96bfd84f04fbc4718e237d120875128c2eb405e0cad3a83880ae0
lessons/027-computer-system-overview-input-output-storage-processor-and-memory.md,8654,72db0c5f19e90b4718346a7c188e190436682542633e7cdd9a90dae17b2dd102
lessons/028-input-devices-and-data-capture.md,8720,ab3c8610b6305f351b272d8cf1db82a52b73a852f04c6223a8a93d159c174a20
lessons/029-output-devices-and-user-feedback.md,7817,77114be1f600b76b858272bd58e0786bdac6295b75109238c86fc590c65033c7
lessons/030-primary-storage-ram-rom-cache-and-virtual-memory.md,12676,2fc524e470dfebb4d483976b78839328f0423b827dad50b26fa522096219c261
lessons/031-secondary-storage-magnetic-optical-and-solid-state-media.md,10512,0d64c0e8e56085849efc39eb730db787d6293bb23400049b9b62798eec201fd3
lessons/032-storage-characteristics-capacity-speed-durability-portability-and-cost.md,9748,f7604117645cd91451f920ea976d6b0bd1f24b8b51537b29edae04a1e434c1ea
lessons/033-embedded-systems-and-microcontrollers.md,5288,db5dfbccbd3c0bc6fa617fd72c59181644d386146e0d706ca3b92d3c3ab194e9
lessons/034-sensors-actuators-and-control-systems.md,5451,0f48d3727fc758fbc3e48484fa058ab3bb85c37426ac6d17d5e88f2dd7e18dd3
lessons/035-logic-gates-not-and-or-nand-nor-xor.md,5158,873aa0cde41ea9820c617f2859ab758a1156a57befb88e8734516b677efe3c5b
